1682468024.773806, 23.98, 59.00, 7.91
1682468025.778184, 24.96, 35.00, 6.91
1682468026.774125, 23.39, 24.00, 7.52
1682468027.780274, 22.34, 27.00, 6.15
1682468028.7772899, 20.22, 73.00, 6.01
1682468029.7758899, 28.02, 10.00, 6.52
1682468030.78228, 22.89, 93.00, 6.63
1682468031.7877052, 21.54, 16.00, 6.15
1682468032.790198, 27.15, 61.00, 7.84
1682468033.784666, 21.00, 7.00, 7.52
1682501326.4907699, 23.64, 70.00, 7.23
1682501327.494695, 21.20, 22.00, 6.25
1682501328.501606, 27.58, 46.00, 6.07
1682501329.500822, 20.67, 54.00, 7.86
1682501330.498539, 28.74, 57.00, 6.60
1682501331.5048718, 27.41, 11.00, 6.30
1682501332.51051, 26.27, 68.00, 7.90
1682501333.517028, 23.31, 72.00, 7.25
1682501334.517118, 22.42, 82.00, 7.84
1682501335.517466, 23.76, 92.00, 6.98
1682501336.51159, 27.45, 24.00, 7.08
1682501337.509727, 26.15, 34.00, 7.36
1682501338.5128388, 24.38, 54.00, 6.13
1682501339.5081742, 26.71, 70.00, 7.71
1682501340.515156, 22.18, 30.00, 6.83
1682501341.509598, 21.90, 6.00, 7.98
1682501342.516563, 20.83, 47.00, 6.52
1682501343.5159948, 24.09, 91.00, 7.12
1682501344.520828, 21.68, 40.00, 6.13
1682501345.519171, 26.29, 11.00, 7.55
1682501346.5155132, 23.57, 52.00, 7.51
1682501347.51328, 24.56, 77.00, 7.20
1682501348.510568, 29.21, 31.00, 6.11
1682501349.508266, 24.97, 72.00, 7.84
1682501350.515489, 22.57, 75.00, 7.39
1682501351.514603, 26.68, 79.00, 6.26
1682501352.510852, 29.14, 65.00, 7.23
1682501353.508029, 26.67, 23.00, 7.76
1682501354.5063941, 28.90, 13.00, 6.15
1682501355.505801, 29.89, 54.00, 6.39
1682501356.504719, 27.24, 52.00, 7.37
1682501357.504577, 23.92, 48.00, 7.89
1682501358.506052, 20.90, 54.00, 6.02
1682501359.506355, 22.86, 60.00, 7.33
1682501360.509459, 23.78, 95.00, 7.44
1682501361.508831, 26.65, 60.00, 6.97
1682501362.505475, 27.71, 66.00, 7.66
1682501363.505058, 29.43, 61.00, 7.92
1682501364.5012522, 29.60, 86.00, 7.48
1682501365.500569, 27.96, 2.00, 6.89
1682501366.500046, 28.81, 51.00, 6.04
1682501367.495445, 28.67, 41.00, 6.07
1682501368.496022, 21.20, 67.00, 7.56
1682501369.495816, 26.80, 85.00, 6.53
1682501370.493821, 22.06, 80.00, 7.91
1682501371.499747, 20.69, 58.00, 7.28
1682501372.496759, 28.92, 75.00, 6.84
1682501373.496632, 28.61, 2.00, 6.94
1682501374.4958, 25.72, 24.00, 7.37
1682501375.493321, 21.28, 60.00, 7.27
1683156052.728533, 29.33, 92.00, 7.42
1683156053.733997, 23.01, 60.00, 7.27
1683156054.7305331, 24.17, 61.00, 6.43
1683156055.724746, 29.59, 26.00, 6.41
1683156056.731068, 29.39, 51.00, 7.37
1683156057.7328799, 27.13, 1.00, 6.60
1683156058.731542, 29.47, 63.00, 6.33
1683156059.731592, 26.17, 55.00, 7.41
1683156060.7362099, 25.63, 68.00, 7.97
1683156061.738909, 22.65, 85.00, 7.21
1683156062.738817, 29.31, 40.00, 7.69
1683156063.737607, 23.32, 4.00, 6.35
1683156064.744878, 22.04, 33.00, 7.53
1683156065.752481, 25.46, 36.00, 7.96
1683156066.7474718, 27.28, 18.00, 6.67
1683156067.748532, 22.22, 30.00, 6.59
1683156068.748678, 29.14, 48.00, 7.40
1683156069.757631, 24.36, 51.00, 7.16
1683156070.7497568, 23.73, 55.00, 6.67
1683156071.748707, 26.14, 19.00, 6.26
1683156072.749651, 23.29, 85.00, 6.84
1683156073.754099, 20.30, 63.00, 6.32
1683156074.7555509, 26.60, 5.00, 7.37
1683156075.7597802, 29.30, 2.00, 7.70
1683156132.8666492, 22.26, 75.00, 6.06
1683156178.462048, 22.78, 100.00, 7.23
1683156252.141382, 28.18, 20.00, 6.72
1683156253.140851, 27.83, 29.00, 6.59
1683156254.139286, 25.64, 6.00, 6.38
1683156255.138026, 20.38, 38.00, 7.11
1683156870.2703512, 20.54, 40.00, 7.61
1683156871.2656488, 20.40, 71.00, 7.45
1683156872.261162, 24.99, 26.00, 6.15
1683156873.26812, 23.41, 95.00, 6.75
1683156874.2592099, 20.16, 24.00, 6.60
1683156875.266198, 22.66, 96.00, 7.53
1683156876.27392, 23.66, 27.00, 6.43
1683156877.278053, 26.36, 47.00, 7.34
1683156878.282976, 28.21, 84.00, 6.56
1683156879.285283, 26.81, 38.00, 7.40
1683156880.291341, 29.68, 60.00, 7.72
1683156881.2946281, 29.28, 57.00, 6.97
1683156882.300291, 25.33, 92.00, 6.96
1683156883.29735, 20.78, 8.00, 6.97
1683156884.2983522, 23.54, 71.00, 6.35
1683156885.3030689, 28.82, 30.00, 6.37
1683156886.310369, 20.96, 34.00, 8.00
1683156887.30631, 23.49, 17.00, 7.16
1683156888.306885, 21.57, 89.00, 7.88
1683156889.305703, 26.12, 55.00, 7.27
1683156890.310113, 28.39, 64.00, 7.18
1683156891.317507, 29.49, 13.00, 6.20
1683156892.3222568, 22.28, 19.00, 6.44
1683156893.330318, 21.93, 46.00, 7.91
1683156894.334002, 22.75, 7.00, 7.46
1683156895.334962, 20.85, 86.00, 7.21
1683156896.333447, 24.19, 75.00, 6.98
1683156897.340728, 27.40, 89.00, 6.99
1683156898.346893, 29.14, 49.00, 7.42
1683156899.352223, 25.05, 44.00, 7.41
1683156900.355427, 24.49, 52.00, 7.40
1683156901.349529, 27.19, 2.00, 6.88
1683156902.348754, 23.97, 49.00, 7.18
1683156903.3552608, 28.50, 4.00, 7.73
1683156904.354609, 29.65, 76.00, 6.23
1683156905.361001, 27.62, 68.00, 7.60
1683156906.357379, 23.76, 60.00, 6.41
